Relation_Brute,Context_Subject,Context_Object,Candidat_1,Candidat_2,Candidat_3,Candidat_4,Candidat_5
occupy house as her,<http://dbpedia.org/resource/Edward_VII>,"<http://dbpedia.org/resource/Pall_Mall,_London>",dbo:house (house) [Score: 0.64],dbo:tenant (tenant) [Score: 0.47],dbo:residence (residence) [Score: 0.47],dbo:governmentPlace (government place) [Score: 0.46],dbo:establishment (Establishment) [Score: 0.45]
change family name from to,<http://dbpedia.org/resource/George_V>,<http://dbpedia.org/resource/Windsor_Castle>,dbo:languageFamily (family) [Score: 0.67],dbo:family (family) [Score: 0.67],dbo:subFamily (sub-family) [Score: 0.63],dbo:headOfFamily (family head) [Score: 0.56],dbo:familyMember (family member) [Score: 0.56]
found in,<http://dbpedia.org/resource/Emily_Williamson>,<http://dbpedia.org/resource/Manchester>,dbo:created (created) [Score: 0.55],dbo:friend (friend) [Score: 0.48],dbo:result (result) [Score: 0.46],dbo:similar (similar) [Score: 0.46],dbo:source (source) [Score: 0.46]
propose tall rich of,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Prussia>,dbo:heightAgainst (height against) [Score: 0.49],dbo:heightAttack (height attack) [Score: 0.43],dbo:topFloorHeight (top floor height) [Score: 0.42],dbo:height (height (μ)) [Score: 0.37],dbo:towerHeight (tower height) [Score: 0.36]
invite to,<http://dbpedia.org/resource/Municipality_of_Lorne>,<http://dbpedia.org/resource/Balmoral_Castle>,dbo:id (id) [Score: 0.55],dbo:member (member) [Score: 0.46],dbo:tie (tie) [Score: 0.44],dbo:ridId (RID Id) [Score: 0.42],dbo:bnfId (BNF Id) [Score: 0.40]
speak of his devotion to,<http://dbpedia.org/resource/Municipality_of_Lorne>,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,dbo:consecration (consecration) [Score: 0.42],dbo:placeOfWorship (place of worship) [Score: 0.42],dbo:religion (religion) [Score: 0.41],dbo:chaplain (chaplain) [Score: 0.40],dbo:theology (Theology) [Score: 0.40]
nominate,<http://dbpedia.org/resource/Benjamin_Disraeli>,<http://dbpedia.org/resource/Municipality_of_Lorne>,dbo:nominee (nominee) [Score: 0.77],dbo:award (award) [Score: 0.57],dbo:awardName (awardName) [Score: 0.55],dbo:appointer (appointer) [Score: 0.55],dbo:president (president) [Score: 0.54]
meet every member of,<http://dbpedia.org/resource/Municipality_of_Lorne>,<http://dbpedia.org/resource/Parliament_of_England>,dbo:meetingCity (meeting city) [Score: 0.53],dbo:meetingRoad (meeting road) [Score: 0.53],dbo:meetingBuilding (meeting building) [Score: 0.47],dbo:usOpenSingle (us open single) [Score: 0.40],dbo:fight (fight) [Score: 0.38]
visit,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,"<http://dbpedia.org/resource/Santa_Barbara,_California>",dbo:touristicSite (touristic site) [Score: 0.55],dbo:restaurant (hotel) [Score: 0.53],dbo:destination (destination) [Score: 0.53],dbo:numberOfVisitors (number of visitors) [Score: 0.51],dbo:visitorsTotal (visitors total) [Score: 0.49]
consider,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/Henry_VIII>,dbo:comment (comment) [Score: 0.48],dbo:second (second) [Score: 0.47],dbo:approach (approach) [Score: 0.45],dbo:interest (interest) [Score: 0.45],dbo:case (case) [Score: 0.44]
