Relation_Brute,Context_Subject,Context_Object,Candidat_1,Candidat_2,Candidat_3,Candidat_4,Candidat_5
see,<http://dbpedia.org/resource/Roy_Hibbert>,<http://dbpedia.org/resource/Roy_Hibbert>,dbo:show (show) [Score: 0.56],dbo:note (note) [Score: 0.46],dbo:result (result) [Score: 0.44],dbo:comment (comment) [Score: 0.43],dbo:wins (wins) [Score: 0.42]
spend rainy holiday in west of at,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Loch_Laggan>,dbo:climate (climate) [Score: 0.43],dbo:budget (budget ($)) [Score: 0.41],dbo:water (water) [Score: 0.41],dbo:watercourse (watercourse) [Score: 0.39],dbo:party (party) [Score: 0.37]
lease,<http://dbpedia.org/resource/Albert_I_of_Germany>,<http://dbpedia.org/resource/Balmoral_Castle>,dbo:tenant (tenant) [Score: 0.66],dbo:contractAward (contract award) [Score: 0.52],dbo:license (license) [Score: 0.43],dbo:mount (mount) [Score: 0.43],dbo:owner (owner) [Score: 0.43]
arrange marriage of his daughter to prince,<http://dbpedia.org/resource/Albert_I_of_Germany>,<http://dbpedia.org/resource/Frederick_William_I_of_Prussia>,dbo:spouse (spouse) [Score: 0.51],dbo:affair (affair) [Score: 0.51],dbo:spouseName (spouse name) [Score: 0.48],dbo:religiousOrder (religious order) [Score: 0.47],dbo:weddingParentsDate (Parents Wedding Date) [Score: 0.44]
describe,<http://dbpedia.org/resource/Felix_Mendelssohn>,<http://dbpedia.org/resource/Albert_I_of_Germany>,dbo:description (description) [Score: 0.81],dbo:pictureDescription (picture description) [Score: 0.58],dbo:depictionDescription (depiction description (caption)) [Score: 0.51],dbo:definition (definition) [Score: 0.49],dbo:appearance (appearance) [Score: 0.49]
return to,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Windsor_Castle>,dbo:result (result) [Score: 0.47],dbo:output (output) [Score: 0.45],dbo:reopened (reopened) [Score: 0.42],dbo:end (end) [Score: 0.42],dbo:follows (follows) [Score: 0.40]
quote in,<http://dbpedia.org/resource/Great_Fulford>,<http://dbpedia.org/resource/Great_Fulford>,dbo:quote (quote) [Score: 1.00],dbo:quotation (quotation) [Score: 0.76],dbo:depthQuote (depth quote) [Score: 0.60],dbo:reference (reference) [Score: 0.58],dbo:lengthQuote (length quote) [Score: 0.58]
archive at wayback machine prince,<http://dbpedia.org/resource/Albert_I_of_Germany>,<http://dbpedia.org/resource/Albert_I_of_Germany>,dbo:restoreDate (restore date) [Score: 0.37],dbo:dutchNAIdentifier (Identifier for Duch National Archive) [Score: 0.35],dbo:outputHistory (output history) [Score: 0.34],dbo:wikiPageRevisionLink (Link to the Wikipage revision URL) [Score: 0.34],dbo:wikiPageHistoryLink (Link to the Wikipage history URL) [Score: 0.32]
suffer ostracism by,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/House_of_Hohenzollern>,dbo:defeat (defeat) [Score: 0.37],dbo:treatment (treatment) [Score: 0.36],dbo:victim (victim (resource)) [Score: 0.34],dbo:disease (disease) [Score: 0.32],dbo:detractor (detractor) [Score: 0.32]
make another trip to,<http://dbpedia.org/resource/Frederick_the_Great>,<http://dbpedia.org/resource/Great_Britain>,dbo:orpha (ORPHA) [Score: 0.36],dbo:origo (origo) [Score: 0.34],dbo:produces (produces) [Score: 0.34],dbo:ncbhof (ncbhof) [Score: 0.32],dbo:gradName (GARDName) [Score: 0.30]
ask,<http://dbpedia.org/resource/Albert_I_of_Germany>,<http://dbpedia.org/resource/House_of_Hohenzollern>,dbo:topic (topic) [Score: 0.41],dbo:school (school) [Score: 0.39],dbo:purpose (purpose) [Score: 0.38],dbo:colour (colour) [Score: 0.38],dbo:comment (comment) [Score: 0.38]
be not just geopolitical rival in,<http://dbpedia.org/resource/Russia>,<http://dbpedia.org/resource/Asia>,dbo:friend (friend) [Score: 0.33],dbo:comment (comment) [Score: 0.33],dbo:isniId (ISNI Id) [Score: 0.32],dbo:show (show) [Score: 0.32],dbo:appearance (appearance) [Score: 0.32]
tend,<http://dbpedia.org/resource/Junker>,<http://dbpedia.org/resource/Prussia>,dbo:spurType (spur type) [Score: 0.48],dbo:spurOf (spur of) [Score: 0.47],dbo:strength (strength) [Score: 0.43],dbo:hand (hand) [Score: 0.42],dbo:position (position) [Score: 0.40]
occupy,<http://dbpedia.org/resource/Prussia>,<http://dbpedia.org/resource/Holstein>,dbo:tenant (tenant) [Score: 0.49],dbo:establishment (Establishment) [Score: 0.48],dbo:territory (territory) [Score: 0.46],dbo:occupation (occupation) [Score: 0.45],dbo:space (space) [Score: 0.43]
be very popular well respect man in,<http://dbpedia.org/resource/Adolf_Stoecker>,<http://dbpedia.org/resource/Germany>,dbo:appearance (appearance) [Score: 0.35],dbo:mood (mood) [Score: 0.32],dbo:strength (strength) [Score: 0.32],dbo:speciality (speciality) [Score: 0.31],dbo:show (show) [Score: 0.31]
buy cottage in,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Bornstedt_(Potsdam)>,dbo:restaurant (hotel) [Score: 0.43],dbo:island (island) [Score: 0.43],dbo:house (house) [Score: 0.43],dbo:hometown (home town) [Score: 0.38],dbo:residence (residence) [Score: 0.37]
entrust this task to bright strict philologist,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Georg_Ernst_Hinzpeter>,dbo:veneratedIn (venerated in) [Score: 0.40],dbo:second (second) [Score: 0.38],dbo:security (security) [Score: 0.37],dbo:award (award) [Score: 0.36],dbo:review (review) [Score: 0.36]
marry of,<http://dbpedia.org/resource/Princess_Margaret_of_Prussia>,<http://dbpedia.org/resource/House_of_Hesse>,dbo:spouse (spouse) [Score: 0.62],dbo:sex (sex) [Score: 0.52],dbo:spouseName (spouse name) [Score: 0.49],dbo:affair (affair) [Score: 0.48],dbo:partner (partner) [Score: 0.46]
travel throughout,<http://dbpedia.org/resource/Edward_VII>,<http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland>,dbo:totalTravellers (total travellers) [Score: 0.60],dbo:destination (destination) [Score: 0.60],dbo:aircraftTransport (aircraft transport) [Score: 0.52],dbo:suborbitalFlights (suborbital flights) [Score: 0.49],dbo:orbitalFlights (orbital flights) [Score: 0.48]
spend study at under among other chemist,<http://dbpedia.org/resource/Edward_VII>,"<http://dbpedia.org/resource/Lyon_Playfair,_1st_Baron_Playfair>",dbo:student (student) [Score: 0.48],dbo:budget (budget ($)) [Score: 0.46],dbo:tuition (tuition ($)) [Score: 0.44],dbo:academicDiscipline (academic discipline) [Score: 0.43],dbo:education (education) [Score: 0.42]
accompany prince to,<http://dbpedia.org/resource/James_Buchanan>,<http://dbpedia.org/resource/Mount_Vernon>,dbo:monarch (monarch) [Score: 0.44],dbo:heir (heir) [Score: 0.42],dbo:royalAnthem (royal anthem) [Score: 0.41],dbo:commander (commander) [Score: 0.38],dbo:thirdCommander (third commander) [Score: 0.37]
churchill;[b,<http://dbpedia.org/resource/Lady_Randolph_Churchill>,"<http://dbpedia.org/resource/Daisy_Greville,_Countess_of_Warwick>",dbo:honours (honours) [Score: 0.41],dbo:battleHonours (battle honours) [Score: 0.39],dbo:minister (minister) [Score: 0.38],dbo:chancellor (chancellor) [Score: 0.37],dbo:bSide (b side) [Score: 0.35]
inform,<http://dbpedia.org/resource/Salisbury>,<http://dbpedia.org/resource/Edward_VII>,dbo:information (information) [Score: 0.69],dbo:informationName (information name) [Score: 0.63],dbo:type (type) [Score: 0.42],dbo:announcedFrom (announcedFrom) [Score: 0.39],dbo:provides (provides) [Score: 0.38]
retrieve april,<http://dbpedia.org/resource/Royal_family>,<http://dbpedia.org/resource/Hattersley>,dbo:primate (Primite) [Score: 0.47],"dbo:primogenitor (primogenitor, first forebear) [Score: 0.45]",dbo:chEMBL (ChEMBL) [Score: 0.33],dbo:procedure (procedure) [Score: 0.31],dbo:silCode (SIL code) [Score: 0.30]
